day	Anno	celltype	UMAP_1	UMAP_2	marker:Tcf21	marker:Isl1	marker:Gata4	up:Mycn	up:Hmga2	up:Id2	up:Meis1	up:Mef2c	up:Foxc2	up:Irx1	up:Zic3	up:Irx5	up:Tcf15	up:Meis2	up:Twist1	up:Hmgb1	up:Irx3	up:Foxp1	up:Tbx1	up:Tgif1	up:Gata5	up:Osr1	up:Alx1	up:Sox4	up:Prrx2	up:Prrx1	up:Id3	up:Foxc1	up:Otx2	up:Meox1	up:Gata6	up:Pbx1	up:Id1	up:Rarb	down:Lyar	down:Hand1	down:Mixl1	down:Msx1	down:Evx1	down:Msx2	down:T	down:Cdx2	down:Tbx3	down:Prdm6	down:Cdx1	down:Myc	down:Cdx4	down:Foxf1
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.96	-0.29	0	0	2.3	2.3	0	3	0	0	0	0	0	0	0	0	0	5.9	0	0	0	2.3	0	0	0	0	0	0	4.4	0	0	0	0	2.3	0	0	4.2	3.6	0	3.4	0	3.4	0	2.3	0	2.3	0	3	0	3
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.46	-1.77	0	0	2.5	3.2	3.5	2.5	2.5	0	0	0	0	0	0	0	0	5.8	0	2.5	0	0	0	0	0	0	0	0	3.8	0	0	0	0	3.2	3.2	0	4	3.8	0	3.8	0	3.8	0	0	0	0	0	2.5	0	3.8
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.18	2.65	0	2.7	0	0	3.5	3.4	0	0	0	0	0	0	0	1.7	0	5.8	0	0	0	1.7	0	0	0	3	0	0	4.5	0	0	0	2.3	0	3	0	4.5	4.4	1.7	3.5	0	1.7	0	4.3	0	0	0	1.7	2.3	3.4
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.74	-1.5	0	0	0	0	2.2	2.2	0	0	0	2.2	0	0	0	0	0	5.7	0	0	0	2.2	0	0	0	0	0	0	4.4	0	0	0	2.2	2.2	2.8	0	3.7	3.9	2.2	3.9	0	3.2	0	3.2	2.8	0	0	0	0	3.7
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.72	-2.99	2.4	2.4	0	3.9	3.9	4.2	3	0	0	0	0	0	2.4	3.4	0	5.9	0	2.4	0	0	0	0	0	3	0	0	5.5	0	2.4	0	2.4	0	4.7	0	4.7	3.9	0	3.7	0	3	0	0	0	0	0	2.4	0	3
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-3.55	4.58	0	2.7	0	0	3.3	0	0	0	0	0	0	0	0	2.7	0	6.2	0	0	0	2.7	0	0	0	3.3	2.7	0	4	0	0	0	0	0	2.7	0	4	4.4	3.3	3.3	2.7	0	2.7	4	2.7	0	2.7	2.7	3.7	3.3
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	5.22	-2.08	0	0	0	2.8	0	2.8	0	0	0	0	0	0	0	3.9	0	5.5	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	3.5	3.5	0	3.5	3.9	0	0	0	2.8	0	0	0	0	0	0	0	0
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.67	4.74	0	2.4	0	2.8	2.4	2.4	0	0	0	0	0	0	0	0	0	5.7	0	0	0	2.4	0	0	0	2.4	0	0	4.3	0	0	0	0	2.4	3.9	0	4.7	4.1	0	3.6	0	3.7	2.8	3.4	0	0	0	0	2.4	1.8
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.61	4.06	0	3.7	0	2.9	2.9	3.5	0	0	0	0	0	0	0	0	0	5.8	0	0	0	2.9	0	0	0	2.2	2.2	0	4.5	0	0	0	0	0	4.3	0	4.4	5.3	2.9	0	2.2	2.2	2.9	4.1	2.2	0	0	0	2.2	3.5
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.12	2.52	0	0	0	0	3.9	3.9	0	0	0	0	0	0	0	0	0	5.3	0	2.6	0	0	0	0	0	0	0	0	4.3	0	0	0	0	2.6	3.9	0	3.9	3.7	0	3.3	0	0	0	2.6	0	0	0	2.6	0	2.6
